payment_id,vendor_name,invoice_number,amount,payment_date,payment_method
PMT-00817,Cascade Telecom,INV-008-89674,559.12,2024-01-01,ACH
PMT-00363,Pinehurst Cleaning Services,INV-032-26152,3340.33,2024-01-02,ACH
PMT-00064,Cascade Travel Services,INV-009-33907,993.15,2024-01-02,Check
PMT-00511,Silverline Utilities,INV-041-60077,811.8,2024-01-02,ACH
PMT-00694,Lumen Utilities,INV-028-73991,2833.52,2024-01-03,Card
PMT-00704,Lumen Telecom,INV-027-45060,599.72,2024-01-04,Check
PMT-00298,Lumen Telecom,INV-027-28030,2054.83,2024-01-04,ACH
PMT-00567,Harbor IT Services,INV-018-58322,3120.53,2024-01-04,ACH
PMT-00513,Ironclad Staffing Solutions,INV-023-96791,2871.69,2024-01-04,ACH
PMT-00755,Silverline Freight,INV-039-88675,624.77,2024-01-04,ACH
PMT-00904,Silverline Utilities LLC,INV-041-60077,811.8,2024-01-04,Check
PMT-00086,Lumen Telecom,INV-027-23413,5331.66,2024-01-05,ACH
PMT-00125,Beacon Maintenance Corp,INV-001-67015,709.4,2024-01-06,Card
PMT-00053,Harbor Equipment Rental,INV-017-52010,413.79,2024-01-06,ACH
PMT-00290,Pinehurst Office Solutions,INV-035-80327,4445.41,2024-01-07,ACH
PMT-00887,Ironclad Equipment Rental,INV-022-58475,9029.33,2024-01-08,Check
PMT-00107,Redwood Marketing Partners,INV-038-12993,1932.39,2024-01-08,ACH
PMT-00382,Cascade Freight,INV-006-24254,693.32,2024-01-09,ACH
PMT-00687,Silverline Freight,INV-039-27413,971.81,2024-01-09,Check
PMT-00336,Coastal Legal Services,INV-011-80128,2958.14,2024-01-10,Check
PMT-00496,Vantage Supply Co.,INV-045-98205,1395.62,2024-01-10,ACH
PMT-00032,Vertex Analytics,INV-046-68263,1213.29,2024-01-10,ACH
PMT-00529,Crestview Legal Services,INV-014-27582,1556.44,2024-01-10,Check
PMT-00296,Pinehurst Office Solutions,INV-035-37417,3130.61,2024-01-10,Check
PMT-00446,Union Cleaning Services,INV-043-90477,2379.29,2024-01-11,Wire
PMT-00563,Crestview Legal Services,INV-014-43027,368.41,2024-01-11,ACH
PMT-00418,Vertex Travel Services,INV-049-82891,1276.01,2024-01-11,Check
PMT-00811,Lumen Telecom,INV-027-69094,2922.96,2024-01-12,ACH
PMT-00162,Ironclad Equipment Rental,INV-022-47588,5048.56,2024-01-12,Wire
PMT-00637,Harbor Office Solutions,INV-019-27998,2807.52,2024-01-12,ACH
PMT-00888,Ironclad Equipment Rental,INV-022-67644,9874.84,2024-01-12,ACH
PMT-00394,Harbor Travel Services,INV-020-82242,1272.11,2024-01-13,Wire
PMT-00485,Cobalt Utilities,INV-012-79393,2096.51,2024-01-13,ACH
PMT-00780,Vertex Software Inc.,INV-047-13166,154.09,2024-01-13,ACH
PMT-00569,Lumen Utilities,INV-028-19537,692.3,2024-01-14,ACH
PMT-00088,Silverline Waste Management,INV-042-19102,2933.01,2024-01-14,Check
PMT-00267,Vantage Supply Co.,INV-045-60992,3423.03,2024-01-15,ACH
PMT-00772,Silverline Waste Management,INV-042-35614,5675.18,2024-01-15,ACH
PMT-00825,Pinehurst Security Systems,INV-036-45138,1695.54,2024-01-15,ACH
PMT-00037,Lumen Cleaning Services,INV-025-24426,2506.62,2024-01-15,Card
PMT-00099,Cascade Catering,INV-005-26857,1784.65,2024-01-15,Check
PMT-00573,Cascade Travel Services,INV-009-65368,542.89,2024-01-15,Card
PMT-00760,Ironclad Staffing Solutions,INV-023-44956,4560.02,2024-01-16,ACH
PMT-00488,Lumen Catering,INV-024-95031,2482.2,2024-01-16,ACH
PMT-00420,Cascade Telecom,INV-008-43515,759.7,2024-01-17,ACH
PMT-00671,Vertex Travel Services,INV-049-69679,907.11,2024-01-17,Card
PMT-00229,Lumen Catering,INV-024-10751,1308.94,2024-01-17,ACH
PMT-00417,Vertex Travel Services,INV-049-41774,1968.14,2024-01-17,Check
PMT-00275,Blue Ridge Analytics,INV-002-76010,3324.65,2024-01-18,Check
PMT-00716,Vertex Staffing Solutions,INV-048-20405,1296.34,2024-01-18,ACH
PMT-00239,Cascade Travel Services,INV-009-84009,376.84,2024-01-18,ACH
PMT-00348,Pinehurst Facilities Management,INV-033-82564,852.73,2024-01-19,ACH
PMT-00672,Harbor Travel Services,INV-020-86456,1011.16,2024-01-19,ACH
PMT-00695,Beacon Logistics,INV-000-52863,857.24,2024-01-20,Card
PMT-00115,Silverline Office Solutions,INV-040-94435,2757.27,2024-01-21,ACH
PMT-00680,Coastal Legal Services,INV-011-12147,828.81,2024-01-22,Wire
PMT-00778,Vertex Travel Services,INV-049-69670,653.52,2024-01-22,Check
PMT-00286,Cascade Travel Services,INV-009-78547,900.17,2024-01-22,ACH
PMT-00787,Crestview Legal Services,INV-014-97971,708.22,2024-01-22,ACH
PMT-00428,Cobalt Utilities,INV-012-38447,2256.48,2024-01-23,ACH
PMT-00109,Coastal Legal Services,INV-011-44410,627.96,2024-01-23,Check
PMT-00187,Lumen Maintenance Corp,INV-026-21083,3353.65,2024-01-23,ACH
PMT-00701,Pinehurst Security Systems,INV-036-22172,2353.74,2024-01-24,ACH
PMT-00344,Vertex Software Inc.,INV-047-92262,693.18,2024-01-24,ACH
PMT-00186,Crestview Legal Services,INV-014-27798,296.29,2024-01-24,Check
PMT-00452,Vantage Supply Co.,INV-045-56703,1329.45,2024-01-24,ACH
PMT-00730,Ironclad Staffing Solutions,INV-023-60551,879.41,2024-01-25,Wire
PMT-00753,Pinehurst Landscaping,INV-034-36166,2315.57,2024-01-25,ACH
PMT-00066,Redwood Cleaning Services,INV-037-14371,5812.48,2024-01-28,Check
PMT-00878,Silverline Freight,INV-039-25608,9046.41,2024-01-28,Wire
PMT-00669,Pinehurst Cleaning Services,INV-032-16824,22777.14,2024-01-28,Check
PMT-00193,Blue Ridge Analytics,INV-002-41301,1188.05,2024-01-29,ACH
PMT-00047,Redwood Cleaning Services,INV-037-68861,762.54,2024-01-30,ACH
PMT-00612,Ironclad Equipment Rental,INV-022-68388,1667.23,2024-01-31,Wire
PMT-00455,Beacon Maintenance Corp,INV-001-78137,279.21,2024-01-31,ACH
PMT-00754,Pinehurst Security Systems,INV-036-13263,774.09,2024-01-31,ACH
PMT-00877,Silverline Freight,INV-039-19236,9109.56,2024-01-31,Wire
PMT-00803,Silverline Waste Management,INV-042-84197,3561.98,2024-02-01,ACH
PMT-00245,Cascade Freight,INV-006-11468,348.71,2024-02-01,Check
PMT-00143,Meridian Travel Services,INV-029-44475,24006.86,2024-02-01,ACH
PMT-00097,Vertex Staffing Solutions,INV-048-56157,1347.19,2024-02-01,ACH
PMT-00777,Blue Ridge Analytics,INV-002-72306,929.89,2024-02-01,Check
PMT-00851,Cobalt Utilities,INV-012-38447,2256.48,2024-02-02,Card
PMT-00463,Falcon Facilities Management,INV-015-43787,397.02,2024-02-02,ACH
PMT-00702,Ironclad Staffing Solutions,INV-023-97973,4777.57,2024-02-02,Card
PMT-00098,Pinehurst Facilities Management,INV-033-95375,263.73,2024-02-03,ACH
PMT-00036,Cascade Catering,INV-005-50368,3019.51,2024-02-03,ACH
PMT-00800,Meridian Travel Services,INV-029-79374,1906.5,2024-02-04,ACH
PMT-00232,Meridian Travel Services,INV-029-22347,1639.88,2024-02-04,Card
PMT-00085,Cascade Office Solutions,INV-007-17596,2651.33,2024-02-04,Wire
PMT-00718,Vertex Analytics,INV-046-39230,293.05,2024-02-04,ACH
PMT-00896,Silverline Waste Management LLC,INV-042-84197,3561.98,2024-02-05,Card
PMT-00128,Crestview Legal Services,INV-014-87780,170.26,2024-02-06,ACH
PMT-00510,Pinehurst Security Systems,INV-036-69287,585.03,2024-02-06,Check
PMT-00313,Falcon Facilities Management,INV-015-94893,3755.38,2024-02-07,Check
PMT-00139,Lumen Cleaning Services,INV-025-47613,414.01,2024-02-07,ACH
PMT-00012,Cascade Telecom,INV-008-44999,4873.05,2024-02-07,Wire
PMT-00653,Harbor Office Solutions,INV-019-65443,915.05,2024-02-07,Check
PMT-00861,Pinehurst Security Systems,INV-036-69287,585.03,2024-02-07,Check
PMT-00215,Pinehurst Office Solutions,INV-035-26120,771.98,2024-02-08,ACH
PMT-00399,Redwood Marketing Partners,INV-038-97944,491.87,2024-02-09,ACH
PMT-00447,Vertex Staffing Solutions,INV-048-79753,2951.5,2024-02-09,Check
PMT-00140,Union Cleaning Services,INV-043-69267,232.44,2024-02-10,ACH
PMT-00057,Coastal Freight,INV-010-35652,276.67,2024-02-10,Check
PMT-00728,Beacon Maintenance Corp,INV-001-46204,1416.94,2024-02-11,Wire
