account_id,book_value,audited_value
AR-0001,3719.87,3719.87
AR-0002,9713.45,9713.45
AR-0003,1180.68,1180.68
AR-0004,2409.16,2409.16
AR-0005,4604.04,4604.04
AR-0006,5745.47,5745.47
AR-0007,2905.51,2905.51
AR-0008,2104.78,2104.78
AR-0009,32815.53,32815.53
AR-0010,22297.31,22297.31
AR-0011,3436.1,3436.1
AR-0012,2745.91,2745.91
AR-0013,2900.45,2900.45
AR-0014,13009.4,13009.4
AR-0015,1257.93,1257.93
AR-0016,14692.15,14692.15
AR-0017,5584.77,5584.77
AR-0018,5068.39,5068.39
AR-0019,3905.36,3905.36
AR-0020,8659.87,8659.87
AR-0021,2936.58,2936.58
AR-0022,3800.78,3800.78
AR-0023,9962.46,9962.46
AR-0024,8400.95,8400.95
AR-0025,2928.32,2928.32
AR-0026,5203.13,5203.13
AR-0027,18949.86,18949.86
AR-0028,6604.62,6604.62
AR-0029,60324.1,60324.1
AR-0030,2643.1,2643.1
AR-0031,524.66,524.66
AR-0032,3870.34,3870.34
AR-0033,14625.76,14625.76
AR-0034,3867.55,3867.55
AR-0035,5863.2,5863.2
AR-0036,41519.48,41519.48
AR-0037,488.77,488.77
AR-0038,5487.76,5487.76
AR-0039,2881.99,2881.99
AR-0040,14727.13,14727.13
AR-0041,4429.68,4429.68
AR-0042,2070.79,2070.79
AR-0043,1806.34,1806.34
AR-0044,11494.62,11494.62
AR-0045,7422.09,7422.09
AR-0046,4625.77,4625.77
AR-0047,6871.67,6871.67
AR-0048,8382.02,8382.02
AR-0049,2115.43,2115.43
AR-0050,11635.89,11635.89
AR-0051,12304.78,12304.78
AR-0052,3877.57,3877.57
AR-0053,1440.01,1440.01
AR-0054,37642.8,37642.8
AR-0055,9503.71,9503.71
AR-0056,7489.99,7489.99
AR-0057,40200.42,40200.42
AR-0058,882.52,882.52
AR-0059,3435.45,3435.45
AR-0060,6414.48,6414.48
AR-0061,55578.07,55578.07
AR-0062,26276.92,26276.92
AR-0063,8522.26,8522.26
AR-0064,1049.31,1049.31
AR-0065,4140.56,4140.56
AR-0066,2128.44,2128.44
AR-0067,3031.62,3031.62
AR-0068,8575.35,8575.35
AR-0069,25078.71,25078.71
AR-0070,11484.79,11484.79
AR-0071,1703.85,1703.85
AR-0072,5584.17,5584.17
AR-0073,16949.44,16949.44
AR-0074,1998.16,1998.16
AR-0075,8972.28,8972.28
AR-0076,2970.16,2970.16
AR-0077,4559.12,4559.12
AR-0078,6344.24,6344.24
AR-0079,5787.13,5787.13
AR-0080,8540.26,8540.26
AR-0081,981.54,147.23
AR-0082,4955.85,4955.85
AR-0083,1390.53,1390.53
AR-0084,10400.04,10400.04
AR-0085,27825.67,27825.67
AR-0086,636.82,636.82
AR-0087,8377.5,8377.5
AR-0088,8610.93,8610.93
AR-0089,83291.42,83291.42
AR-0090,6695.59,6695.59
AR-0091,3607.8,3607.8
AR-0092,6559.99,6559.99
AR-0093,12295.43,12295.43
AR-0094,1354.43,1354.43
AR-0095,19034.42,19034.42
AR-0096,13258.59,13258.59
AR-0097,8458.02,8458.02
AR-0098,6131.41,6131.41
AR-0099,2325.44,2325.44
AR-0100,9386.96,9386.96
AR-0101,8170.14,8170.14
AR-0102,26093.51,26093.51
AR-0103,7831.37,7831.37
AR-0104,23261.27,23261.27
AR-0105,8507.19,8507.19
AR-0106,54282.01,54282.01
AR-0107,21294.73,21294.73
AR-0108,4088.54,4088.54
AR-0109,338.33,338.33
AR-0110,8525.63,8525.63
AR-0111,7255.66,7255.66
AR-0112,5813.72,5813.72
AR-0113,2995.49,2995.49
AR-0114,1617.78,1617.78
AR-0115,645.02,645.02
AR-0116,11230.09,11230.09
AR-0117,7094.41,7094.41
AR-0118,10912.67,10912.67
AR-0119,1298.67,1298.67
AR-0120,1811.29,1811.29
AR-0121,1128.88,1128.88
AR-0122,999.98,999.98
AR-0123,6038.52,6038.52
AR-0124,5558.83,5558.83
AR-0125,617.3,617.3
AR-0126,996.46,996.46
