po_id,approved
PO-00001,True
PO-00002,True
PO-00003,True
PO-00004,True
PO-00005,True
PO-00006,True
PO-00007,True
PO-00008,True
PO-00009,True
PO-00010,True
PO-00011,True
PO-00012,True
PO-00013,True
PO-00014,True
PO-00015,True
PO-00016,True
PO-00017,True
PO-00018,True
PO-00019,True
PO-00020,True
PO-00021,True
PO-00022,True
PO-00023,True
PO-00024,True
PO-00025,True
PO-00026,True
PO-00027,True
PO-00028,True
PO-00029,True
PO-00030,True
PO-00031,True
PO-00032,True
PO-00033,True
PO-00034,True
PO-00035,True
PO-00036,True
PO-00037,True
PO-00038,True
PO-00039,False
PO-00040,True
PO-00041,True
PO-00042,True
PO-00043,True
PO-00044,True
PO-00045,True
PO-00046,True
PO-00047,True
PO-00048,True
PO-00049,True
PO-00050,True
PO-00051,True
PO-00052,True
PO-00053,True
PO-00054,True
PO-00055,True
PO-00056,True
PO-00057,True
PO-00058,True
PO-00059,True
PO-00060,True
PO-00061,True
PO-00062,True
PO-00063,True
PO-00064,True
PO-00065,True
PO-00066,True
PO-00067,True
PO-00068,True
PO-00069,True
PO-00070,True
PO-00071,True
PO-00072,True
PO-00073,True
PO-00074,True
PO-00075,True
PO-00076,True
PO-00077,True
PO-00078,True
PO-00079,True
PO-00080,True
PO-00081,True
PO-00082,True
PO-00083,True
PO-00084,True
PO-00085,True
PO-00086,True
PO-00087,True
PO-00088,True
PO-00089,True
PO-00090,True
PO-00091,True
PO-00092,True
PO-00093,True
PO-00094,True
PO-00095,True
PO-00096,True
PO-00097,True
PO-00098,True
PO-00099,True
PO-00100,True
PO-00101,True
PO-00102,True
PO-00103,False
PO-00104,True
PO-00105,True
PO-00106,True
PO-00107,True
PO-00108,True
PO-00109,True
PO-00110,True
PO-00111,True
PO-00112,True
PO-00113,True
PO-00114,True
PO-00115,True
PO-00116,True
PO-00117,True
PO-00118,True
PO-00119,True
PO-00120,False
PO-00121,True
PO-00122,True
PO-00123,True
PO-00124,True
PO-00125,True
PO-00126,True
PO-00127,True
PO-00128,True
PO-00129,True
PO-00130,False
PO-00131,True
PO-00132,True
PO-00133,True
PO-00134,True
PO-00135,True
PO-00136,True
PO-00137,True
PO-00138,True
PO-00139,True
PO-00140,True
PO-00141,True
PO-00142,True
PO-00143,True
PO-00144,True
PO-00145,True
PO-00146,True
PO-00147,True
PO-00148,False
PO-00149,True
PO-00150,True
PO-00151,True
PO-00152,True
PO-00153,True
PO-00154,True
PO-00155,True
PO-00156,True
PO-00157,True
PO-00158,True
PO-00159,True
PO-00160,True
PO-00161,True
PO-00162,True
PO-00163,True
PO-00164,True
PO-00165,True
PO-00166,True
PO-00167,True
PO-00168,True
PO-00169,True
PO-00170,True
PO-00171,True
PO-00172,True
PO-00173,True
PO-00174,True
PO-00175,True
PO-00176,True
PO-00177,True
PO-00178,True
PO-00179,True
PO-00180,True
PO-00181,True
PO-00182,True
PO-00183,True
PO-00184,True
PO-00185,True
PO-00186,True
PO-00187,True
PO-00188,True
PO-00189,True
PO-00190,True
PO-00191,True
PO-00192,True
PO-00193,True
PO-00194,True
PO-00195,True
PO-00196,True
PO-00197,True
PO-00198,True
PO-00199,True
PO-00200,True
PO-00201,True
PO-00202,True
PO-00203,True
PO-00204,True
PO-00205,True
PO-00206,True
PO-00207,True
PO-00208,True
PO-00209,True
PO-00210,True
PO-00211,True
PO-00212,True
PO-00213,True
PO-00214,True
PO-00215,True
PO-00216,True
PO-00217,True
PO-00218,True
PO-00219,True
PO-00220,True
PO-00221,True
PO-00222,True
PO-00223,True
PO-00224,True
PO-00225,True
PO-00226,True
PO-00227,True
PO-00228,True
PO-00229,True
PO-00230,True
PO-00231,True
PO-00232,True
PO-00233,True
PO-00234,True
PO-00235,True
PO-00236,True
PO-00237,True
PO-00238,True
PO-00239,True
PO-00240,True
PO-00241,True
PO-00242,True
PO-00243,True
PO-00244,True
PO-00245,True
PO-00246,True
PO-00247,True
PO-00248,True
PO-00249,True
PO-00250,True
PO-00251,True
PO-00252,True
PO-00253,True
PO-00254,True
PO-00255,True
PO-00256,True
PO-00257,True
PO-00258,True
PO-00259,True
PO-00260,True
PO-00261,True
PO-00262,True
PO-00263,False
PO-00264,True
PO-00265,True
PO-00266,True
PO-00267,True
PO-00268,True
PO-00269,True
PO-00270,True
PO-00271,True
PO-00272,True
PO-00273,True
PO-00274,True
PO-00275,False
PO-00276,True
PO-00277,True
PO-00278,True
PO-00279,True
PO-00280,True
PO-00281,True
PO-00282,True
PO-00283,True
PO-00284,True
PO-00285,True
PO-00286,True
PO-00287,True
PO-00288,True
PO-00289,True
PO-00290,True
PO-00291,True
PO-00292,True
PO-00293,True
PO-00294,True
PO-00295,True
PO-00296,True
PO-00297,True
PO-00298,True
PO-00299,True
PO-00300,True
PO-00301,True
PO-00302,True
PO-00303,True
PO-00304,True
PO-00305,True
PO-00306,True
PO-00307,True
PO-00308,True
PO-00309,True
PO-00310,True
PO-00311,True
PO-00312,True
PO-00313,True
PO-00314,True
PO-00315,True
PO-00316,True
PO-00317,True
PO-00318,True
PO-00319,True
PO-00320,True
PO-00321,True
PO-00322,True
PO-00323,True
PO-00324,True
PO-00325,True
PO-00326,True
PO-00327,True
PO-00328,True
PO-00329,True
PO-00330,True
PO-00331,True
PO-00332,True
PO-00333,True
PO-00334,True
PO-00335,True
PO-00336,True
PO-00337,True
PO-00338,True
PO-00339,True
PO-00340,True
PO-00341,True
PO-00342,True
PO-00343,True
PO-00344,True
PO-00345,True
PO-00346,True
PO-00347,True
PO-00348,True
PO-00349,True
PO-00350,True
PO-00351,True
PO-00352,True
PO-00353,True
PO-00354,True
PO-00355,False
PO-00356,True
PO-00357,True
PO-00358,True
PO-00359,True
PO-00360,True
PO-00361,True
PO-00362,True
PO-00363,True
PO-00364,True
PO-00365,True
PO-00366,True
PO-00367,True
PO-00368,True
PO-00369,True
PO-00370,True
PO-00371,True
PO-00372,True
PO-00373,True
PO-00374,True
PO-00375,True
PO-00376,True
PO-00377,True
PO-00378,True
PO-00379,True
PO-00380,True
PO-00381,True
PO-00382,True
PO-00383,True
PO-00384,True
PO-00385,True
PO-00386,True
PO-00387,True
PO-00388,True
PO-00389,True
PO-00390,True
PO-00391,False
PO-00392,True
PO-00393,True
PO-00394,True
PO-00395,True
PO-00396,True
PO-00397,False
PO-00398,True
PO-00399,True
PO-00400,True
PO-00401,True
PO-00402,True
PO-00403,True
PO-00404,True
PO-00405,True
PO-00406,True
PO-00407,True
PO-00408,True
PO-00409,True
PO-00410,True
PO-00411,True
PO-00412,True
PO-00413,True
PO-00414,True
PO-00415,True
PO-00416,True
PO-00417,True
PO-00418,True
PO-00419,True
PO-00420,True
PO-00421,True
PO-00422,True
PO-00423,True
PO-00424,True
PO-00425,True
PO-00426,True
PO-00427,True
PO-00428,True
PO-00429,True
PO-00430,True
PO-00431,True
PO-00432,True
PO-00433,True
PO-00434,True
PO-00435,True
PO-00436,True
PO-00437,True
PO-00438,True
PO-00439,True
PO-00440,True
PO-00441,True
PO-00442,True
PO-00443,True
PO-00444,True
PO-00445,True
PO-00446,True
PO-00447,True
PO-00448,True
PO-00449,True
PO-00450,True
PO-00451,True
PO-00452,True
PO-00453,False
PO-00454,True
PO-00455,True
PO-00456,True
PO-00457,True
PO-00458,True
PO-00459,True
PO-00460,True
PO-00461,True
PO-00462,True
PO-00463,True
PO-00464,True
PO-00465,True
PO-00466,False
PO-00467,True
PO-00468,True
PO-00469,True
PO-00470,True
PO-00471,True
PO-00472,True
PO-00473,True
PO-00474,True
PO-00475,True
PO-00476,True
PO-00477,True
PO-00478,True
PO-00479,True
PO-00480,True
PO-00481,True
PO-00482,True
PO-00483,True
PO-00484,True
PO-00485,True
PO-00486,True
PO-00487,True
PO-00488,True
PO-00489,True
PO-00490,True
PO-00491,True
PO-00492,True
PO-00493,True
PO-00494,False
PO-00495,True
PO-00496,True
PO-00497,True
PO-00498,True
PO-00499,True
PO-00500,True
PO-00501,True
PO-00502,True
PO-00503,True
PO-00504,True
PO-00505,True
PO-00506,True
PO-00507,True
PO-00508,True
PO-00509,True
PO-00510,True
PO-00511,True
PO-00512,True
PO-00513,True
PO-00514,True
PO-00515,True
PO-00516,True
PO-00517,True
PO-00518,True
PO-00519,True
PO-00520,True
PO-00521,True
PO-00522,True
PO-00523,True
PO-00524,True
PO-00525,True
PO-00526,True
PO-00527,True
PO-00528,True
PO-00529,True
PO-00530,True
PO-00531,False
PO-00532,True
PO-00533,True
PO-00534,True
PO-00535,True
PO-00536,True
PO-00537,True
PO-00538,True
PO-00539,True
PO-00540,True
PO-00541,True
PO-00542,True
PO-00543,True
PO-00544,True
PO-00545,True
PO-00546,True
PO-00547,True
PO-00548,True
PO-00549,True
PO-00550,True
PO-00551,True
PO-00552,True
PO-00553,True
PO-00554,True
PO-00555,True
PO-00556,True
PO-00557,True
PO-00558,True
PO-00559,True
PO-00560,True
PO-00561,True
PO-00562,True
PO-00563,True
PO-00564,True
PO-00565,True
PO-00566,True
PO-00567,True
PO-00568,True
PO-00569,True
PO-00570,True
PO-00571,True
PO-00572,True
PO-00573,True
PO-00574,True
PO-00575,True
PO-00576,True
PO-00577,True
PO-00578,True
PO-00579,True
PO-00580,True
PO-00581,True
PO-00582,True
PO-00583,True
PO-00584,True
PO-00585,True
PO-00586,True
PO-00587,True
PO-00588,True
PO-00589,True
PO-00590,True
PO-00591,True
PO-00592,True
PO-00593,True
PO-00594,True
PO-00595,True
PO-00596,True
PO-00597,True
PO-00598,True
PO-00599,True
PO-00600,True
PO-00601,True
PO-00602,True
PO-00603,True
PO-00604,True
PO-00605,True
PO-00606,True
PO-00607,True
PO-00608,True
PO-00609,True
PO-00610,True
PO-00611,True
PO-00612,True
PO-00613,True
PO-00614,True
PO-00615,True
PO-00616,True
PO-00617,True
PO-00618,True
PO-00619,True
PO-00620,True
PO-00621,True
PO-00622,True
PO-00623,True
PO-00624,True
PO-00625,True
PO-00626,True
PO-00627,True
PO-00628,True
PO-00629,True
PO-00630,True
PO-00631,True
PO-00632,True
PO-00633,True
PO-00634,True
PO-00635,True
PO-00636,True
PO-00637,True
PO-00638,True
PO-00639,True
PO-00640,True
PO-00641,True
PO-00642,True
PO-00643,True
PO-00644,True
PO-00645,True
PO-00646,True
PO-00647,True
PO-00648,True
PO-00649,True
PO-00650,True
PO-00651,True
PO-00652,True
PO-00653,True
PO-00654,True
PO-00655,True
PO-00656,True
PO-00657,True
PO-00658,True
PO-00659,True
PO-00660,True
PO-00661,True
PO-00662,True
PO-00663,True
PO-00664,True
PO-00665,True
PO-00666,True
PO-00667,True
PO-00668,True
PO-00669,True
PO-00670,True
PO-00671,True
PO-00672,True
PO-00673,True
PO-00674,True
PO-00675,True
PO-00676,True
PO-00677,True
PO-00678,True
PO-00679,True
PO-00680,True
PO-00681,True
PO-00682,True
PO-00683,True
PO-00684,True
PO-00685,True
PO-00686,True
PO-00687,True
PO-00688,True
PO-00689,True
PO-00690,True
PO-00691,True
PO-00692,True
PO-00693,True
PO-00694,True
PO-00695,True
PO-00696,True
PO-00697,True
PO-00698,True
PO-00699,True
PO-00700,True
PO-00701,True
PO-00702,True
PO-00703,True
PO-00704,True
PO-00705,True
PO-00706,True
PO-00707,True
PO-00708,False
PO-00709,True
PO-00710,True
PO-00711,True
PO-00712,True
PO-00713,True
PO-00714,True
PO-00715,True
PO-00716,True
PO-00717,True
PO-00718,True
PO-00719,True
PO-00720,True
PO-00721,True
PO-00722,True
PO-00723,True
PO-00724,True
PO-00725,True
PO-00726,True
PO-00727,True
PO-00728,True
PO-00729,True
PO-00730,True
PO-00731,True
PO-00732,True
PO-00733,True
PO-00734,True
PO-00735,True
PO-00736,True
PO-00737,True
PO-00738,True
PO-00739,True
PO-00740,True
PO-00741,True
PO-00742,True
PO-00743,True
PO-00744,True
PO-00745,True
PO-00746,True
PO-00747,True
PO-00748,True
PO-00749,True
PO-00750,True
PO-00751,True
PO-00752,True
PO-00753,True
PO-00754,True
PO-00755,True
PO-00756,True
PO-00757,True
PO-00758,True
PO-00759,False
PO-00760,True
PO-00761,True
PO-00762,True
PO-00763,True
PO-00764,True
PO-00765,True
PO-00766,True
PO-00767,True
PO-00768,True
PO-00769,True
PO-00770,True
PO-00771,True
PO-00772,True
PO-00773,True
PO-00774,True
PO-00775,True
PO-00776,True
PO-00777,True
PO-00778,True
PO-00779,True
PO-00780,True
PO-00781,True
PO-00782,True
PO-00783,True
PO-00784,True
PO-00785,True
PO-00786,True
PO-00787,True
PO-00788,True
PO-00789,True
PO-00790,True
PO-00791,True
PO-00792,True
PO-00793,True
PO-00794,True
PO-00795,True
PO-00796,True
PO-00797,False
PO-00798,True
PO-00799,True
PO-00800,True
PO-00801,True
PO-00802,True
PO-00803,True
PO-00804,True
PO-00805,True
PO-00806,True
PO-00807,True
PO-00808,True
PO-00809,True
PO-00810,True
PO-00811,True
PO-00812,True
PO-00813,True
PO-00814,True
PO-00815,True
PO-00816,True
PO-00817,True
PO-00818,True
PO-00819,True
PO-00820,True
PO-00821,True
PO-00822,True
PO-00823,True
PO-00824,True
PO-00825,True
PO-00826,True
PO-00827,True
PO-00828,True
PO-00829,True
PO-00830,False
PO-00831,True
PO-00832,True
PO-00833,True
PO-00834,True
PO-00835,True
PO-00836,False
PO-00837,True
PO-00838,True
PO-00839,True
PO-00840,True
PO-00841,True
PO-00842,True
PO-00843,True
PO-00844,True
PO-00845,True
PO-00846,True
PO-00847,True
PO-00848,True
PO-00849,True
PO-00850,True
PO-00851,True
PO-00852,True
PO-00853,True
PO-00854,True
PO-00855,True
PO-00856,True
PO-00857,True
PO-00858,True
PO-00859,True
PO-00860,True
PO-00861,True
PO-00862,True
PO-00863,True
PO-00864,True
PO-00865,True
PO-00866,True
PO-00867,True
PO-00868,True
PO-00869,True
PO-00870,True
PO-00871,True
PO-00872,True
PO-00873,True
PO-00874,True
PO-00875,True
PO-00876,True
PO-00877,True
PO-00878,True
PO-00879,True
PO-00880,True
PO-00881,True
PO-00882,True
PO-00883,True
PO-00884,True
PO-00885,True
PO-00886,True
PO-00887,True
PO-00888,True
PO-00889,True
PO-00890,True
PO-00891,True
PO-00892,True
PO-00893,True
PO-00894,True
PO-00895,True
PO-00896,True
PO-00897,True
PO-00898,True
PO-00899,True
PO-00900,True
PO-00901,True
PO-00902,True
PO-00903,True
PO-00904,True
PO-00905,True
PO-00906,True
PO-00907,True
PO-00908,True
PO-00909,True
PO-00910,True
PO-00911,True
PO-00912,True
PO-00913,True
PO-00914,True
PO-00915,True
PO-00916,True
PO-00917,True
PO-00918,True
PO-00919,True
PO-00920,True
PO-00921,True
PO-00922,True
PO-00923,True
PO-00924,True
PO-00925,True
PO-00926,True
PO-00927,True
PO-00928,True
PO-00929,True
PO-00930,True
PO-00931,True
PO-00932,True
PO-00933,True
PO-00934,True
PO-00935,True
PO-00936,True
PO-00937,True
PO-00938,True
PO-00939,True
PO-00940,True
PO-00941,True
PO-00942,True
PO-00943,True
PO-00944,True
PO-00945,True
PO-00946,True
PO-00947,True
PO-00948,True
PO-00949,True
PO-00950,True
PO-00951,True
PO-00952,True
PO-00953,True
PO-00954,True
PO-00955,True
PO-00956,True
PO-00957,True
PO-00958,True
PO-00959,True
PO-00960,True
PO-00961,True
PO-00962,True
PO-00963,True
PO-00964,True
PO-00965,True
PO-00966,True
PO-00967,True
PO-00968,True
PO-00969,True
PO-00970,True
PO-00971,True
PO-00972,True
PO-00973,True
PO-00974,True
PO-00975,True
PO-00976,True
PO-00977,True
PO-00978,True
PO-00979,True
PO-00980,True
PO-00981,False
PO-00982,True
PO-00983,True
PO-00984,True
PO-00985,True
PO-00986,True
PO-00987,True
PO-00988,True
PO-00989,True
PO-00990,True
PO-00991,True
PO-00992,True
PO-00993,True
PO-00994,True
PO-00995,True
PO-00996,True
PO-00997,True
PO-00998,True
PO-00999,True
PO-01000,True
PO-01001,True
PO-01002,True
PO-01003,True
PO-01004,True
PO-01005,True
PO-01006,True
PO-01007,True
PO-01008,True
PO-01009,True
PO-01010,True
PO-01011,True
PO-01012,True
PO-01013,True
PO-01014,True
PO-01015,True
PO-01016,True
PO-01017,True
PO-01018,True
PO-01019,True
PO-01020,True
PO-01021,True
PO-01022,True
PO-01023,True
PO-01024,True
PO-01025,True
PO-01026,True
PO-01027,False
PO-01028,True
PO-01029,True
PO-01030,True
PO-01031,True
PO-01032,True
PO-01033,True
PO-01034,True
PO-01035,True
PO-01036,True
PO-01037,True
PO-01038,True
PO-01039,True
PO-01040,False
PO-01041,True
PO-01042,True
PO-01043,True
PO-01044,True
PO-01045,True
PO-01046,True
PO-01047,True
PO-01048,True
PO-01049,True
PO-01050,True
PO-01051,True
PO-01052,True
PO-01053,True
PO-01054,True
PO-01055,True
PO-01056,True
PO-01057,True
PO-01058,True
PO-01059,True
PO-01060,True
PO-01061,True
PO-01062,True
PO-01063,True
PO-01064,True
PO-01065,True
PO-01066,True
PO-01067,True
PO-01068,True
PO-01069,True
PO-01070,True
PO-01071,True
PO-01072,True
PO-01073,True
PO-01074,True
PO-01075,True
PO-01076,True
PO-01077,True
PO-01078,True
PO-01079,True
PO-01080,True
