user_id,base_role,access_right,source,granted_date,revoked_date
U-0001,GL Accountant,Post Journal Entry,role: GL Accountant,2024-01-27,
U-0001,GL Accountant,Approve Journal Entry,exception grant,2024-09-21,
U-0002,AR Clerk,Create/Edit Customer Master,role: AR Clerk,2024-01-20,
U-0002,AR Clerk,Approve Credit Memo,exception grant,2024-07-14,
U-0003,GL Accountant,Post Journal Entry,role: GL Accountant,2024-02-14,
U-0004,Procurement Buyer,Create Purchase Order,role: Procurement Buyer,2024-02-07,
U-0005,AR Clerk,Create/Edit Customer Master,role: AR Clerk,2024-02-23,
U-0006,AP Clerk,Create/Edit Vendor Master,role: AP Clerk,2024-01-25,
U-0006,AP Clerk,Approve Vendor Payment,exception grant,2024-04-24,2024-07-02
U-0007,AP Clerk,Create/Edit Vendor Master,role: AP Clerk,2024-02-19,
U-0008,Payroll Admin,Edit Payroll Rates/Hours,role: Payroll Admin,2024-02-27,
U-0009,AR Clerk,Create/Edit Customer Master,role: AR Clerk,2024-02-05,
U-0010,AR Clerk,Create/Edit Customer Master,role: AR Clerk,2024-02-22,
U-0011,Treasury Analyst,Reconcile Bank Account,role: Treasury Analyst,2024-02-12,
U-0012,Procurement Buyer,Create Purchase Order,role: Procurement Buyer,2024-01-16,
U-0013,Controller,Approve Journal Entry,role: Controller,2024-01-27,
U-0014,Procurement Buyer,Create Purchase Order,role: Procurement Buyer,2024-01-31,
U-0015,AR Clerk,Create/Edit Customer Master,role: AR Clerk,2024-01-15,
U-0016,Payroll Admin,Edit Payroll Rates/Hours,role: Payroll Admin,2024-01-28,
U-0017,Procurement Buyer,Create Purchase Order,role: Procurement Buyer,2024-01-17,
U-0018,GL Accountant,Post Journal Entry,role: GL Accountant,2024-02-28,
U-0019,AP Clerk,Create/Edit Vendor Master,role: AP Clerk,2024-01-20,
U-0020,Procurement Manager,Approve Purchase Order,role: Procurement Manager,2024-02-07,
U-0020,Procurement Manager,Create Purchase Order,exception grant,2024-03-01,2024-05-12
U-0021,AP Clerk,Create/Edit Vendor Master,role: AP Clerk,2024-02-29,
U-0021,AP Clerk,Approve Vendor Payment,exception grant,2024-03-01,2024-03-31
U-0022,AP Clerk,Create/Edit Vendor Master,role: AP Clerk,2024-01-17,
U-0023,Treasury Analyst,Reconcile Bank Account,role: Treasury Analyst,2024-02-07,
U-0024,AP Clerk,Create/Edit Vendor Master,role: AP Clerk,2024-01-25,
U-0025,GL Accountant,Post Journal Entry,role: GL Accountant,2024-01-31,
U-0026,AP Clerk,Create/Edit Vendor Master,role: AP Clerk,2024-02-04,
U-0027,AR Clerk,Create/Edit Customer Master,role: AR Clerk,2024-01-23,
U-0028,AP Supervisor,Approve Vendor Payment,role: AP Supervisor,2024-03-01,
U-0029,AR Clerk,Create/Edit Customer Master,role: AR Clerk,2024-02-14,
U-0030,Payroll Admin,Edit Payroll Rates/Hours,role: Payroll Admin,2024-02-05,
U-0030,Payroll Admin,Approve Payroll Run,exception grant,2024-08-28,
U-0031,AR Supervisor,Approve Credit Memo,role: AR Supervisor,2024-01-21,
U-0032,AP Clerk,Create/Edit Vendor Master,role: AP Clerk,2024-01-04,
U-0032,AP Clerk,Approve Vendor Payment,exception grant,2024-05-30,
U-0033,AP Supervisor,Approve Vendor Payment,role: AP Supervisor,2024-01-10,
U-0034,Procurement Buyer,Create Purchase Order,role: Procurement Buyer,2024-01-02,
U-0035,Warehouse Receiving Clerk,Receive Goods,role: Warehouse Receiving Clerk,2024-02-06,
U-0036,Procurement Buyer,Create Purchase Order,role: Procurement Buyer,2024-02-09,
U-0037,AR Supervisor,Approve Credit Memo,role: AR Supervisor,2024-01-03,
U-0038,Procurement Buyer,Create Purchase Order,role: Procurement Buyer,2024-01-29,
U-0039,AR Clerk,Create/Edit Customer Master,role: AR Clerk,2024-01-15,
U-0040,AR Clerk,Create/Edit Customer Master,role: AR Clerk,2024-02-27,
U-0041,AR Clerk,Create/Edit Customer Master,role: AR Clerk,2024-01-14,
U-0041,AR Clerk,Approve Credit Memo,exception grant,2024-04-18,
U-0042,AR Clerk,Create/Edit Customer Master,role: AR Clerk,2024-02-28,
U-0043,Treasury Analyst,Reconcile Bank Account,role: Treasury Analyst,2024-02-18,
U-0044,Warehouse Receiving Clerk,Receive Goods,role: Warehouse Receiving Clerk,2024-01-03,
U-0045,Controller,Approve Journal Entry,role: Controller,2024-02-24,
U-0046,AP Supervisor,Approve Vendor Payment,role: AP Supervisor,2024-02-22,
U-0047,AP Clerk,Create/Edit Vendor Master,role: AP Clerk,2024-02-06,
U-0048,Warehouse Receiving Clerk,Receive Goods,role: Warehouse Receiving Clerk,2024-02-02,
U-0049,Warehouse Receiving Clerk,Receive Goods,role: Warehouse Receiving Clerk,2024-01-04,
